magnitude,location,time,latitude,longitude
1.79,"2 km NW of The Geysers, CA",2024-10-31 16:32:19,38.7911682128906,-122.776496887207
1.6,"7 km WNW of Cobb, CA",2024-10-31 16:26:58,38.835334777832,-122.800498962402
4.0,"2 km SSW of Néa Moudhaniá, Greece",2024-10-31 16:23:48,40.2203,23.2696
2.5,"33 km S of Stonewall Gap, Colorado",2024-10-31 16:06:48,36.8484,-105.0006
2.75,"4 km SE of Highland Park, CA",2024-10-31 15:59:04,34.0941667,-118.1773333
2.13000011,"16 km S of Volcano, Hawaii",2024-10-31 15:47:53,19.2941665649414,-155.246673583984
0.74,"9 km NW of The Geysers, CA",2024-10-31 15:40:15,38.8224983215332,-122.842834472656
-0.52,"22 km W of Sitka, Alaska",2024-10-31 15:39:15,57.0581666666667,-135.698666666667
4.5,Fiji region,2024-10-31 15:32:58,-21.1128,-178.7634
1.6,"34 km NW of Toyah, Texas",2024-10-31 15:27:04,31.56,-104.011
5.1,Mauritius - Reunion region,2024-10-31 15:24:42,-19.9447,66.2801
2.5,"102 km W of Ferndale, California",2024-10-31 15:18:05,40.4713,-125.4656
1.6,"84 km W of Salamatof, Alaska",2024-10-31 14:57:52,60.7071,-152.8443
-0.57,"63 km ENE of Pedro Bay, Alaska",2024-10-31 14:41:21,60.0401666666667,-153.081666666667
1.25,"4 km ENE of Rancho San Diego, CA",2024-10-31 14:31:25,32.7628333,-116.8963333
0.55,"Rat Islands, Aleutian Islands, Alaska",2024-10-31 14:30:56,52.0221666666667,178.473166666667
0.86,"4 km NNW of The Geysers, CA",2024-10-31 14:28:11,38.804500579834,-122.780166625977
1.33,"4 km NW of San Luis Obispo, CA",2024-10-31 14:20:38,35.3014984130859,-120.695335388184
-0.66,"65 km WNW of Tyonek, Alaska",2024-10-31 14:06:24,61.2846666666667,-152.260833333333
1.87,"11 km ENE of Pāhala, Hawaii",2024-10-31 14:04:16,19.2455005645752,-155.38166809082
